,Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
75,IST359,M005,37477,3.0,Intro to Data Base Mgmt Systs,Chad Aaron Harper,3:30pm - 4:50pm,TuTh,Hinds Hall 013
76,IST359,M006,37478,3.0,Intro to Data Base Mgmt Systs,Laurie A Ferger,12:45pm - 2:05pm,MW,Hinds Hall 010
77,IST363,M001,37541,3.0,Advanced Front End Web Design,Jonathan Backus,3:30pm - 4:50pm,TuTh,Sims Hall 237
78,IST363,M002,41691,3.0,Advanced Front End Web Design,Jonathan Backus,5:00pm - 6:20pm,TuTh,Marshall Square Mall 208A
79,IST387,M001,37578,3.0,Intro to Applied Data Science,Jeffrey M. Stanton,9:30am - 10:50am,Th,Life Science Building 001
80,IST387,M002,37633,3.0,LAB: Intro to Applied Data Science,Deborah L Nosky,12:30pm - 1:50pm,Th,Hinds Hall 021
81,IST387,M003,41743,3.0,LAB: Intro to Applied Data Science,Stephen Wallace,3:30pm - 4:50pm,Th,Hinds Hall 018
82,IST400,M001,37551,3.0,Intro to Cloud Technologies,Radhika Garg,2:15pm - 5:00pm,M,Hinds Hall 018
83,IST400,M002,42597,3.0,Block Chain Mgmt.,Phil Evangelista,5:15pm - 8:05pm,W,Hinds Hall 010
84,IST407,M001,42450,3.0,Data Mining,Stephen Wallace,12:45pm - 3:35pm,W,Hinds Hall 013
85,IST414,M001,41711,3.0,Data Driven Inquiry,Ingrid Erickson,11:00am - 12:20pm,TuTh,Hinds Hall 011
86,IST421,M001,41712,3.0,Information Visualization,Jeff Hemsley,9:30am - 12:15pm,Tu,Hinds Hall 010
87,IST421,M002,42196,3.0,Information Visualization,Jeff Hemsley,9:30am - 12:15pm,W,Hinds Hall 010
88,IST425,M001,37400,3.0,Enterprise Risk Management,Ann M Perkins,5:15pm - 6:35pm,MW,Slocum 104
89,IST425,M002,37516,3.0,Enterprise Risk Management,James Enwright,5:00pm - 7:50pm,Tu,Sims Hall 241
90,IST449,M001,37414,3.0,Human Comp. Interaction,Bryan Semaan,12:30pm - 1:50pm,TuTh,Hinds Hall 111
91,IST452,M001,37409,3.0,Advanced Computer Networking,Jeffrey T Girard,6:30pm - 7:50pm,TuTh,
92,IST455,M001,37535,3.0,Enterprise IT Consultation,Michelle L. Kaarst-Brown,2:00pm - 4:45pm,Th,Hinds Hall 111
93,IST456,M001,42883,3.0,Info Policy & Decision Making,Garland McCoy,5:00pm - 7:50pm,Th,Hinds Hall 111
94,IST462,M001,37632,3.0,Scripting for Data Analysis,"David J. Myers, Ph.D.",5:15pm - 6:35pm,MW,Hinds Hall 013
95,IST466,M002,37394,3.0,Prof Issues/Info Mgmt & Tech,Bruce Kingma,3:30pm - 4:50pm,TuTh,Hinds Hall 021
96,IST466,M001,37399,3.0,Prof Issues/Info Mgmt & Tech,Marcene S. Sonneborn,8:00am - 9:20am,MW,Hinds Hall 021
97,IST466,M003,37439,3.0,Prof Issues/Info Mgmt & Tech,Marcene S. Sonneborn,12:45pm - 2:05pm,MW,Hinds Hall 021
98,IST466,M004,41692,3.0,Prof Issues/Info Mgmt & Tech,Bruce Kingma,2:00pm - 3:20pm,TuTh,Hinds Hall 018
99,IST469,M001,37455,3.0,Advanced Database Management,Wade Stringer,2:15pm - 3:35pm,MW,Hinds Hall 027  Hinds Hall 117
100,IST471,M001,37386,1.0,Internship in Info Mgmt & Tech,Susan Monica Bonzi,1:00am - 1:00am,,
101,IST472,M001,37576,1.0,Coop Educ in Info Mgmt & Tech,Susan Monica Bonzi,12:00am - 12:00am,,
